"sample_id","tube_id","donor_site_id","recipient_site_id","sample_type","sampling_timepoint","source_material","collection_date","collection_time","collector","sample_mass_g","sample_volume_mL","dna_extraction_id","extraction_date","extraction_batch","dna_concentration_ng_uL","storage_location","storage_temperature_C","sequencing_status","protocol_deviation","notes"
"T0012_DON","T0012","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0012_RES","T0012","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0012_FIN","T0012","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0013_DON","T0013","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0013_RES","T0013","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0013_FIN","T0013","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0014_DON","T0014","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0014_RES","T0014","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0014_FIN","T0014","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0015_DON","T0015","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0015_RES","T0015","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0015_FIN","T0015","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
